package_name,version,summary,license,metadata_source
navigator-updater,0.2.1,Anaconda Navigator Updater,"proprietary - Continuum Analytics, Inc.",Anaconda
nbconvert,5.5.0,Converting Jupyter Notebooks,BSD-3-Clause,Anaconda
nbformat,4.4.0,The reference implementation of the Jupyter Notebook format,BSD 3-clause,Anaconda
nervananeon,2.6.0,Intel's deep learning framework,License :: OSI Approved :: Apache Software License,PyPI
networkx,2.3,Python package for creating and manipulating complex networks,BSD-3-Clause,Anaconda
nibabel,2.5.0,Access a multitude of neuroimaging data formats,MIT License,PyPI
nilearn,0.5.2,Statistical learning for neuroimaging in Python,new BSD,PyPI
nltk,3.2.4,Build Python programs to work with human language data,Apache 2.0,Anaconda
nolearn,0.6.1.dev0,scikit-learn compatible neural network library,MIT,PyPI
nose,1.3.7,Nose extends unittest to make testing easier,LGPL-2.1,Anaconda
notebook,5.5.0,Jupyter Notebook,BSD 3-clause,Anaconda
numba,0.45.1,NumPy aware dynamic Python compiler using LLVM,BSD 2-clause,Anaconda
numdifftools,0.9.39,Solves automatic numerical differentiation problems in one or more variables.,new BSD,PyPI
numexpr,2.6.9,Fast numerical expression evaluator for NumPy.,MIT,Anaconda
numpy,1.17.0,"Array processing for numbers, strings, records, and objects.",BSD 3-Clause,Anaconda
numpydoc,0.9.1,Numpy's Sphinx extensions,BSD 3-Clause,Anaconda
nvidia-ml-py3,7.352.0,Python Bindings for the NVIDIA Management Library,BSD,PyPI
odfpy,1.4.0,Python API and tools to manipulate OpenDocument files,,PyPI
olefile,0.46,"parse, read and write Microsoft OLE2 files",BSD 2-Clause,Anaconda
onnx,1.5.0,Open Neural Network Exchange,,PyPI
opencv-python,4.1.0.25,Wrapper package for OpenCV python bindings.,MIT,PyPI
opencv-python-headless,4.1.0.25,Wrapper package for OpenCV python bindings.,MIT,PyPI
openpyxl,2.6.2,A Python library to read/write Excel 2010 xlsx/xlsm files,MIT,Anaconda
optuna,0.14.0,A hyperparameter optimization framework,,PyPI
orderedmultidict,1.0.1,Ordered Multivalue Dictionary,Unlicense,PyPI
ortools,7.3.7083,Google OR-Tools python libraries and modules,Apache 2.0,PyPI
osmnx,0.10,"Retrieve, model, analyze, and visualize OpenStreetMap street networks and other spatial data",MIT,PyPI
osqp,0.5.0,OSQP: The Operator Splitting QP Solver,Apache 2.0,PyPI
overrides,1.9,A decorator to automatically detect mismatch when overriding a method.,"Apache License, Version 2.0",PyPI
packaging,19.1,Core utilities for Python packages,Apache 2.0 or BSD 2-Clause,Anaconda
palettable,3.2.0,Color palettes for Python,,PyPI
pandas,0.25.0,"High-performance, easy-to-use data structures and data analysis tools.",BSD 3-clause,Anaconda
pandas-datareader,0.7.4,"Up to date remote data access for pandas, works for multiple versions of pandas",BSD-3,Anaconda
pandas-profiling,2.3.0,Generate profile report for pandas DataFrame,MIT,Anaconda
pandas-summary,0.0.7,An extension to pandas describe function.,MIT,PyPI
pandasql,0.7.3,Sqldf for pandas,BSD,Anaconda
pandoc,1.0.2,Universal markup converter (repackaged binaries).,GPL-2.0,Anaconda
pandocfilters,1.4.2,A python module for writing pandoc filters,BSD-3-Clause,Anaconda
param,1.9.1,Param: Make your Python code clearer and more reliable by declaring Parameters,BSD-3-Clause,Anaconda
paramnb,2.0.4,Generate ipywidgets from Parameterized objects in the notebook,BSD 3-Clause License,PyPI
parsimonious,0.8.1,(Soon to be) the fastest pure-Python PEG parser I could muster,MIT,PyPI
parso,0.5.1,A Python Parser,MIT,Anaconda
partd,1.0.0,Data structure for on-disk shuffle operations,BSD 3-Clause,Anaconda
path.py,12.0.1,A module wrapper for os.path,MIT,Anaconda
pathlib2,2.3.4,Fork of pathlib aiming to support the full stdlib Python API,MIT,Anaconda
pathos,0.2.4,parallel graph management and execution in heterogeneous computing,3-clause BSD,PyPI
patsy,0.5.1,Describing statistical models in Python using symbolic formulas,"BSD-2-Clause, PSF2",Anaconda
pbr,5.4.2,Python Build Reasonableness,,PyPI
pdf2image,1.6.0,A wrapper around the pdftoppm and pdftocairo command line tools to convert PDF to a PIL Image list.,MIT,PyPI
pep8,1.7.1,Python style guide checker,MIT,Anaconda
pexpect,4.7.0,Pexpect makes Python a better tool for controlling other applications.,ISC,Anaconda
phik,0.9.8,Phi_K correlation analyzer library,,PyPI
pickleshare,0.7.5,Tiny 'shelve'-like database with concurrency support,MIT,Anaconda
pip,19.2.2,PyPA recommended tool for installing Python packages,MIT,Anaconda
pkginfo,1.5.0.1,Query metadatdata from sdists,bdists,Anaconda
plac,0.9.6,The smartest command line arguments parser in the world,BSD 2-Clause,Anaconda
plotly,4.1.0,"An interactive, browser-based graphing library for Python",MIT,Anaconda
plotly-express,0.4.1,Plotly Express - a high level wrapper for Plotly.py,MIT,PyPI
plotnine,0.4.0,A grammar of graphics for python,GPL-2,PyPI
pluggy,0.12.0,Plugin registration and hook calling for Python,MIT,Anaconda
ply,3.11,Python Lex-Yacc,BSD 3-clause,Anaconda
polyglot,16.7.4,Polyglot is a natural language pipeline that supports massive multilingual applications.,GPLv3,PyPI
posix-ipc,1.0.4,"POSIX IPC primitives (semaphores, shared memory and message queues) for Python",http://creativecommons.org/licenses/BSD/,PyPI
pox,0.2.6,utilities for filesystem exploration and automated builds,3-clause BSD,PyPI
ppca,0.0.4,Probabilistic PCA,,PyPI
ppft,1.6.6.1,distributed and parallel python,BSD-like,PyPI
preprocessing,0.1.13,pre-processing package for text strings,MIT,PyPI
preshed,2.0.1,Cython hash table that trusts the keys are pre-hashed,MIT,PyPI
prettytable,0.7.2,A simple Python library for easily displaying tabular data in a visually appealing ASCII table format.,BSD,PyPI
progressbar2,3.42.0,A Python Progressbar library to provide visual (yet text based) progress to long running operations.,BSD,PyPI
prometheus-client,0.7.1,Python client for the Prometheus monitoring system.,Apache Software License 2.0,PyPI
prompt-toolkit,2.0.9,Library for building powerful interactive command lines in Python,BSD-3-Clause,PyPI
pronouncing,0.2.0,A simple interface for the CMU pronouncing dictionary,BSD,PyPI
protobuf,3.7.1,Protocol Buffers - Google's data interchange format.,BSD 3-Clause,Anaconda
psutil,5.6.3,A cross-platform process and system utilities module for Python,BSD 3-Clause,Anaconda
ptyprocess,0.6.0,Run a subprocess in a pseudo terminal,ISC,Anaconda
pudb,2019.1,"A full-screen, console-based Python debugger",,PyPI
py,1.8.0,"library with cross-python path, ini-parsing, io, code, log facilities",MIT,Anaconda
py-cpuinfo,5.0.0,Get CPU info with pure Python 2 & 3,MIT,PyPI
py-lz4framed,0.13.0,LZ4Frame library for Python (via C bindings),Apache License 2.0,PyPI
py-stringmatching,0.4.1,Python library for string matching.,BSD,PyPI
py-stringsimjoin,0.3.1,Python library for performing string similarity joins.,BSD,PyPI
pyLDAvis,2.1.2,Interactive topic model visualization. Port of the R package.,MIT,PyPI
pyOpenSSL,19.0.0,Python wrapper module around the OpenSSL library,"Apache License, Version 2.0",PyPI
pyPdf,1.13,PDF toolkit,UNKNOWN,PyPI
pyahocorasick,1.4.0,pyahocorasick is a fast and memory efficient library for exact or approximate multi-pattern string search., BSD-3-Clause and Public-Domain,PyPI
pyarrow,0.10.0,Python library for Apache Arrow,"Apache License, Version 2.0",PyPI
pyasn1,0.4.6,ASN.1 types and codecs,BSD 2-Clause,Anaconda
pyasn1-modules,0.2.6,A collection of ASN.1-based protocols modules.,BSD 2-Clause,Anaconda
pybind11,2.3.0,Seamless operability between C++11 and Python,BSD,PyPI
pycairo,1.18.1,Python interface for cairo,,PyPI
pycodestyle,2.4.0,Python style guide checker,MIT,Anaconda
pycosat,0.6.3,Bindings to picosat (a SAT solver),MIT,Anaconda
pycountry,19.8.18,"ISO country, subdivision, language, currency and script definitions and their translations",LGPL 2.1,PyPI
pycparser,2.19,Complete C99 parser in pure Python,BSD 3-clause,Anaconda
pycrypto,2.6.1,Cryptographic modules for Python.,Public Domain,Anaconda
pyct,0.4.6,"python package common tasks for users (e.g. copy examples, fetch data, ...)",BSD 3-Clause License,PyPI
pycurl,7.43.0.2,A Python Interface To The cURL library,"LGPL, MIT",Anaconda
pydash,4.7.5,"The kitchen sink of Python utility libraries for doing ""stuff"" in a functional way. Based on the Lo-Dash Javascript library.",MIT License,PyPI
pydicom,1.3.0,Pure python package for DICOM medical file reading and writing,MIT,PyPI
pydot,1.4.1,Python interface to Graphviz's Dot,MIT,Anaconda
pyeconometrics,1.0.2,,,
pyemd,0.5.1,A Python wrapper for the Earth Mover's Distance.,MIT,Anaconda
pyexcel-io,0.5.20,"A python library to read and write structured data in csv, zipped csvformat and to/from databases",New BSD,PyPI
pyexcel-ods,0.5.6,"A wrapper library to read, manipulate and write data in ods format",New BSD,PyPI
pyfasttext,0.4.6,Yet another Python binding for fastText,GPLv3,PyPI
pyflakes,2.0.0,Pyflakes analyzes programs and detects various errors.,MIT,Anaconda
pyflux,0.4.15,PyFlux: A time-series analysis library for Python,BSD,PyPI
pyglet,1.3.2,Cross-platform windowing and multimedia library,BSD,PyPI
pykalman,0.9.5,"An implementation of the Kalman Filter, Kalman Smoother, and EM algorithm in Python",BSD,PyPI
pykoko,0.1.8,KOKO is an easy-to-use entity extraction tool,Apache Software License 2.0,PyPI
pylint,2.3.1,python code static checker,GPL,Anaconda
pymagnitude,0.1.120,"A fast, efficient universal vector embedding utility package.",MIT,PyPI
pymc3,3.7,Probabilistic Programming in Python.,Apache-2.0,Anaconda
pymongo,3.9.0,Python driver for MongoDB http://www.mongodb.org,Apache 2.0,Anaconda
pyocr,0.7.2,"A Python wrapper for OCR engines (Tesseract, Cuneiform, etc)",GPLv3+,PyPI
pyodbc,4.0.27,DB API Module for ODBC,MIT,Anaconda
pypandoc,1.4,Thin wrapper for pandoc.,MIT,PyPI
pyparsing,2.4.2,Create and execute simple grammars,MIT,Anaconda
pyperclip,1.7.0,A cross-platform clipboard module for Python. (Only handles plain text for now.),BSD,PyPI
pyproj,2.3.0,Python interface to PROJ.4 library,OSI,Anaconda
pyrsistent,0.14.11,Persistent/Functional/Immutable data structures,MIT,Anaconda
pysal,2.1.0,Library of spatial analysis functions,BSD-3-Clause,Anaconda
pyshp,2.1.0,Pure Python read/write support for ESRI Shapefile format,MIT,Anaconda
pystan,2.19.0.0,"Python interface to Stan, a package for Bayesian inference",GPLv3,Anaconda
pytagcloud,0.3.5,Create beautiful tag clouds as images or HTML,BSD,PyPI
pytesseract,0.2.9,Python-tesseract is a python wrapper for Google's Tesseract-OCR,GPLv3,PyPI
pytest,5.0.1,Simple and powerful testing with Python.,MIT,Anaconda
pytest-arraydiff,0.3,pytest plugin to help with comparing array output from tests,BSD,Anaconda
pytest-astropy,0.5.0,Meta-package containing dependencies for testing Astropy,BSD,Anaconda
pytest-cov,2.7.1,Pytest plugin for measuring coverage,MIT,Anaconda
pytest-doctestplus,0.3.0,Pytest plugin with advanced doctest features,BSD,Anaconda
pytest-mock,1.10.4,Thin-wrapper around the mock package for easier use with py.test,MIT,Anaconda
pytest-openfiles,0.3.2,Pytest plugin for detecting inadvertent open file handles,BSD,Anaconda
pytest-pylint,0.14.1,pytest plugin to check source code with pylint,MIT,PyPI
pytest-remotedata,0.3.2,Pytest plugin for controlling remote data access,BSD,Anaconda
pytext-nlp,0.1.2,pytorch modeling framework and model zoo for text models,BSD,PyPI
python-Levenshtein,0.12.0,Python extension for computing string edit distances and similarities.,GPL,PyPI
python-dateutil,2.8.0,Extensions to the standard Python datetime module.,BSD 3 Clause,Anaconda
python-editor,1.0.4,"Programmatically open an editor, capture the result.",Apache 2.0,Anaconda
python-igraph,0.7.1.post7,High performance graph data structures and algorithms,GNU General Public License (GPL),PyPI
python-louvain,0.13,Louvain algorithm for community detection,BSD,PyPI
python-utils,2.3.0,Python Utils is a collection of small Python functions and classes which make common patterns shorter and easier.,BSD-3-Clause,Anaconda
pytorch-ignite,0.2.0,A lightweight library to help with training neural networks in PyTorch.,BSD,PyPI
pytorch-pretrained-bert,0.6.2,PyTorch version of Google AI BERT model with script to load Google pre-trained models,Apache,PyPI
pytz,2019.2,"World timezone definitions, modern and historical.",MIT,Anaconda
pyviz-comms,0.7.2,Bidirectional communication for the PyViz ecosystem.,BSD,PyPI
pyzmq,18.1.0,Python bindings for zeromq,BSD 3-clause,Anaconda
qtconsole,4.5.3,Jupyter Qt console,BSD 3-Clause,Anaconda
raccoon,2.1.5,Python DataFrame with fast insert and appends,MIT,PyPI
randomgen,1.16.6,Random generator supporting multiple PRNGs,NCSA,PyPI
ray,0.7.3,A system for parallel and distributed Python that unifies the ML ecosystem.,Apache 2.0,PyPI
redis,3.3.8,Advanced key-value cache and store,3-clause BSD,Anaconda
regex,2019.8.19,"Alternative regular expression module, to replace re.",Python-2.0,Anaconda
requests,2.22.0,Python HTTP for Humans,Apache 2.0,Anaconda
resampy,0.2.2,Efficient signal resampling,ISC,PyPI
retrying,1.3.3,Retrying,Apache 2.0,PyPI
revrand,0.6.5,A library of scalable Bayesian generalized linear models with fancy features,Apache Software License 2.0,PyPI
rf-perm-feat-import,0.1,Random Forest Permutate Feature Importance,MIT,PyPI
rgf-python,3.6.0,Scikit-learn Wrapper for Regularized Greedy Forest,MIT License,PyPI
rope,0.14.0,A python refactoring library,GPL 2.0,Anaconda
rsa,4.0,Pure-Python RSA implementation,ASL 2,PyPI
ruamel-yaml,0.15.46,"ruamel.yaml is a YAML parser/emitter that supports roundtrip preservation of comments, seq/map flow style, and map key order",MIT license,PyPI
s2sphere,0.2.5,Python implementation of the S2 Geometry Library,MIT,PyPI
s3fs,0.3.3,Convenient Filesystem interface over S3,BSD 3-Clause,Anaconda
s3transfer,0.2.1,An Amazon S3 Transfer Manager,Apache License 2.0,PyPI
sacred,0.7.5,Facilitates automated and reproducible experimental research,,PyPI
scattertext,0.0.2.52,An NLP package to visualize interesting terms in text.,Apache 2.0,PyPI
scikit-image,0.15.0,Image processing routines for SciPy.,BSD 3-Clause,Anaconda
scikit-learn,0.21.3,A set of python modules for machine learning and data mining,BSD 3-Clause,Anaconda
scikit-multilearn,0.2.0,Scikit-multilearn is a BSD-licensed library for multi-label classification that is built on top of the well-known scikit-learn ecosystem.,BSD,PyPI
scikit-optimize,0.5.2,Sequential model-based optimization toolbox.,BSD,PyPI
scikit-plot,0.3.7,An intuitive library to add plotting functionality to scikit-learn objects.,MIT License,PyPI
scikit-surprise,1.0.6,An easy-to-use library for recommender systems.,GPLv3+,PyPI
scipy,1.2.1,Scientific Library for Python,BSD 3-Clause,Anaconda
scs,2.1.1.post2,scs: splitting conic solver,MIT,PyPI
seaborn,0.9.0,Statistical data visualization,BSD 3-Clause,Anaconda
sentencepiece,0.1.83,SentencePiece python wrapper,Apache,PyPI
setuptools,41.0.1,"Download, build, install, upgrade, and uninstall Python packages",MIT,Anaconda
setuptools-git,1.2,Setuptools revision control system plugin for Git,BSD,PyPI
shap,0.29.3,A unified approach to explain the output of any machine learning model.,MIT,PyPI
simplegeneric,0.8.1,"Simple generic functions (similar to Python's own len(), pickle.dump(), etc.)",Zope Public,Anaconda
singledispatch,3.4.0.3,Transforms a function into a single-dispatch generic function,MIT,Anaconda
six,1.12.0,Python 2 and 3 compatibility utilities,MIT,Anaconda
sklearn,0.0,A set of python modules for machine learning and data mining,UNKNOWN,PyPI
sklearn-contrib-lightning,0.5.0,"Large-scale sparse linear classification, regression and ranking in Python",new BSD,PyPI
sklearn-contrib-py-earth,0.1.0+1.gdde5f89,A Python implementation of Jerome Friedman's Multivariate Adaptive Regression Splines.,LICENSE.txt,PyPI
sklearn-pandas,1.8.0,Pandas integration with sklearn,,PyPI
smart-open,1.8.4,"Utils for streaming large files (S3, HDFS, gzip, bz2...)",MIT,PyPI
smhasher,0.150.1,Python extension for smhasher hash functions,UNKNOWN,PyPI
snowballstemmer,1.9.0,Snowball stemming library collection for Python,BSD-2-Clause,Anaconda
sortedcollections,1.1.2,Python Sorted Collections,Apache-2.0,Anaconda
sortedcontainers,2.1.0,"Python Sorted Container Types: SortedList, SortedDict, and SortedSet",Apache 2.0,Anaconda
soupsieve,1.9.2,A modern CSS selector implementation for BeautifulSoup,MIT,Anaconda
spacy,2.1.8,Industrial-strength Natural Language Processing,MIT,Anaconda
spectral,0.19,Spectral Python (SPy) is a Python module for hyperspectral image processing.,GPL,PyPI
speedml,0.9.3,Speedml Machine Learning Speed Start,MIT,PyPI
sphinx-rtd-theme,0.2.4,Read the Docs theme for Sphinx,MIT,PyPI
sphinxcontrib-applehelp,1.0.1,sphinxcontrib-applehelp is a sphinx extension which outputs Apple help books,BSD-2-Clause,Anaconda
sphinxcontrib-devhelp,1.0.1,sphinxcontrib-devhelp is a sphinx extension which outputs Devhelp document,BSD-2-Clause,Anaconda
sphinxcontrib-htmlhelp,1.0.2,sphinxcontrib-htmlhelp is a sphinx extension which ...,BSD-2-Clause,Anaconda
sphinxcontrib-jsmath,1.0.1,A sphinx extension which renders display math in HTML via JavaScript,BSD-2-Clause,Anaconda
sphinxcontrib-qthelp,1.0.2,sphinxcontrib-qthelp is a sphinx extension which outputs QtHelp document,BSD-2-Clause,Anaconda
sphinxcontrib-serializinghtml,1.1.3,"sphinxcontrib-serializinghtml is a sphinx extension which outputs ""serialized"" HTML files (json and pickle).",BSD-2-Clause,Anaconda
sphinxcontrib-websupport,1.1.2,Sphinx API for Web Apps,BSD-2-Clause,Anaconda
spyder,3.3.6,The Scientific Python Development Environment,MIT,Anaconda
spyder-kernels,0.5.1,Jupyter kernels for the Spyder console,MIT,Anaconda
sqlparse,0.3.0,A non-validating SQL parser module for Python.,BSD 3-Clause,Anaconda
squarify,0.4.3,Pure Python implementation of the squarify treemap layout algorithm,Apache v2,PyPI
srsly,0.1.0,Modern high-performance serialization utilities for Python,MIT,PyPI
statsmodels,0.10.1,Statistical computations and models for use with SciPy,BSD 3-Clause,Anaconda
stemming,1.0.1,,,PyPI
stevedore,1.30.1,Manage dynamic plugins for Python applications,,PyPI
stop-words,2018.7.23,Get list of common stop words in various languages in Python,"Copyright (c) 2014, Alireza Savand, Contributors",PyPI
stopit,1.1.2,"Timeout control decorator and context managers, raise any exception in another thread",GPLv3,PyPI
svgwrite,1.3.1,A Python library to create SVG drawings.,MIT License,PyPI
sympy,1.4,Python library for symbolic mathematics,BSD-3-Clause,Anaconda
tables,3.5.1,Hierarchical datasets for Python,BSD 2-Clause,PyPI
tabulate,0.8.3,Pretty-print tabular data,MIT,PyPI
tblib,1.4.0,Traceback serialization library.,BSD 2-Clause,Anaconda
tensorboard,1.14.0,TensorBoard lets you watch Tensors Flow,Apache 2.0,PyPI
tensorboardX,1.8,TensorBoardX lets you watch Tensors Flow without Tensorflow,MIT license,PyPI
tensorflow,1.14.0,TensorFlow is a machine learning library.,Apache 2.0,Anaconda
tensorflow-estimator,1.14.0,TensorFlow Estimator.,Apache 2.0,PyPI
tensorflow-hub,0.5.0,"TensorFlow Hub is a library to foster the publication, discovery, and consumption of reusable parts of machine learning models.",Apache 2.0,PyPI
tensorflow-probability,0.7.0,Probabilistic modeling and statistical inference in TensorFlow,Apache 2.0,PyPI
tensorforce,0.4.3,Reinforcement learning for TensorFlow,Apache 2.0,PyPI
tensorpack,0.9.7.1,A Neural Network Training Interface on TensorFlow,Apache,PyPI
termcolor,1.1.0,ANSII Color formatting for output in terminal.,MIT,Anaconda
terminado,0.8.2,Terminals served by tornado websockets,BSD 2-Clause,Anaconda
terminalplot,0.2.6,Plot points in terminal,GPL,PyPI
testpath,0.3.1,Testpath is a collection of utilities for Python code working with files and commands.,BSD-3-Clause,Anaconda
textacy,0.6.2,"NLP, before and after spaCy",Apache,PyPI
textblob,0.15.3,"Simple, Pythonic text processing. Sentiment analysis, part-of-speech tagging, noun phrase parsing, and more.",MIT,PyPI
tflearn,0.3.2,Deep Learning Library featuring a higher-level API for TensorFlow,MIT,PyPI
thinc,7.0.8,Practical Machine Learning for NLP,MIT,PyPI
tifffile,2019.7.26,Read and write TIFF(r) files,BSD,PyPI
tinycss2,1.0.2,Low-level CSS parser for Python,BSD,PyPI
toolz,0.10.0,A functional standard library for Python,BSD 3-Clause,Anaconda
torch,1.1.0,Tensors and Dynamic neural networks in Python with strong GPU acceleration,BSD-3,PyPI
torchaudio,0.4.0a0+42a705d,An audio package for PyTorch,,PyPI
torchtext,0.4.0,Text utilities and datasets for PyTorch,BSD,PyPI
torchvision,0.3.0,Image and video datasets and models for torch deep learning,BSD 3-Clause,Anaconda
tornado,5.0.2,"A Python web framework and asynchronous networking library, originally developed at FriendFeed.",Apache 2.0,Anaconda
tqdm,4.32.1,"A Fast, Extensible Progress Meter","MPLv2.0, MIT",Anaconda
trackml,0.1.12,"An opinionated, minimal cookiecutter template for Python packages",,PyPI
traitlets,4.3.2,Configuration system for Python applications,BSD 3-clause,Anaconda
trueskill,0.4.5,The video game rating system,BSD,PyPI
tsfresh,0.12.0,tsfresh extracts relevant characteristics from time series,MIT,PyPI
typed-ast,1.3.4,a fork of Python 2 and 3 ast modules with type comment support,Apache 2.0,Anaconda
typing,3.6.6,Type Hints for Python - backport for Python<3.5,PSF,Anaconda
typing-extensions,3.6.6,Backported and Experimental Type Hints for Python 3.5+,PSF,PyPI
tzlocal,2.0.0,tzinfo object for the local timezone,MIT,PyPI
umap-learn,0.3.10,Uniform Manifold Approximation and Projection,BSD,PyPI
unicodecsv,0.14.1,Drop-in replacement for csv module which supports unicode strings,BSD,Anaconda
update-checker,0.16,A python module that will check for package updates.,Simplified BSD License,PyPI
uritemplate,3.0.0,URI templates,"BSD 3-Clause License or Apache License, Version 2.0",PyPI
urllib3,1.24.2,"HTTP library with thread-safe connection pooling, file post, and more.",MIT,Anaconda
urwid,2.0.1,A full-featured console (xterm et al.) user interface library,LGPL,PyPI
vecstack,0.4.0,Python package for stacking (machine learning technique),MIT,PyPI
vega3,0.13.0,Deprecated: please use vega,BSD 3-clause,PyPI
vida,0.3,Python binding for Vida data visualizations,UNKNOWN,PyPI
visvis,1.11.2,An object oriented approach to visualization of 1D to 4D data,BSD 3-Clause,Anaconda
vowpalwabbit,8.5.0,Vowpal Wabbit Python package,BSD 3-Clause License,PyPI
vtk,8.1.2,"VTK is an open-source toolkit for 3D computer graphics, image processing, and visualization",BSD,PyPI
wasabi,0.2.2,A lightweight console printing and formatting toolkit,MIT,PyPI
wavio,0.0.4,A Python module for reading and writing WAV files using numpy arrays.,BSD,PyPI
wcwidth,0.1.7,Measures number of Terminal column cells of wide-character codes.,MIT,Anaconda
webencodings,0.5.1,Character encoding aliases for legacy web content,BSD 3-Clause,Anaconda
websocket-client,0.56.0,WebSocket client for Python. hybi13 is supported.,BSD,PyPI
wfdb,2.2.1,The WFDB Python Toolbox,MIT,PyPI
wheel,0.33.4,A built-package format for Python.,MIT,Anaconda
widgetsnbextension,3.5.1,Interactive Widgets for Jupyter,BSD 3-clause,Anaconda
word2number,1.1,Convert number words eg. three hundred and forty two to numbers (342).,MIT,PyPI
wordcloud,1.5.0,A little word cloud generator,MIT,PyPI
wordsegment,1.3.1,English word segmentation.,Apache 2.0,PyPI
wrapt,1.11.2,"Module for decorators, wrappers and monkey patching",BSD 2-Clause,Anaconda
wurlitzer,1.0.3,Capture C-level stdout/stderr in Python,MIT,Anaconda
xarray,0.12.3,N-D labeled arrays and datasets in Python.,Apache-2.0,Anaconda
xgboost,0.90,XGBoost Python Package,Apache-2.0,PyPI
xlrd,1.2.0,Library for developers to extract data from Microsoft Excel (tm) spreadsheet files,BSD 3-Clause and BSD with advertising,Anaconda
xlwt,1.3.0,Writing data and formatting information to Excel files,BSD,Anaconda
xvfbwrapper,0.2.9,run headless display inside X virtual framebuffer (Xvfb),MIT,PyPI
xxhash,1.3.0,Python binding for xxHash,BSD,PyPI
yellowbrick,0.9.1,A suite of visual analysis and diagnostic tools for machine learning.,Apache 2,PyPI
zict,1.0.0,Composable Dictionary Classes,BSD 3-Clause,Anaconda
zipp,0.5.2,A pathlib-compatible Zipfile object wrapper,MIT,Anaconda
